survival_1,survival_2,survival_3,survival_4,survival_5,survival_6,survival_7,birth_1,birth_2,birth_3,birth_4,birth_5,birth_6,birth_7,overwrite_1,overwrite_2,overwrite_3,overwrite_4,overwrite_5,overwrite_6,Response
0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,79
1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1332
0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,934
0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1138
1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1664
0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,3000
1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1609
1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1101
1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,3240
0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1338
1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1758
0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,29147
0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1
0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0
1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1721
0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,4144
0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0
0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1167
0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1698
