survival_1,survival_2,survival_3,survival_4,survival_5,survival_6,survival_7,birth_1,birth_2,birth_3,birth_4,birth_5,birth_6,birth_7,overwrite_1,overwrite_2,overwrite_3,overwrite_4,overwrite_5,overwrite_6,Response
0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0
0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1083
1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1023
0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0
1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,713
1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4245
0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,2817
0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1707
1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,2601
0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,53
0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1438
1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1819
1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1330
1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,2014
1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0
0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1518
0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1200
0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,325
