survival_1,survival_2,survival_3,survival_4,survival_5,survival_6,survival_7,birth_1,birth_2,birth_3,birth_4,birth_5,birth_6,birth_7,overwrite_1,overwrite_2,overwrite_3,overwrite_4,overwrite_5,overwrite_6,Response
1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,2325
0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,3721
1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,3068
0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,2037
1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,3878
0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,2839
1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,2266
0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,3275
0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,2819
1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,2306
1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,7373
1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,3978
1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,7235
0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2916
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,5993
1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,2018
1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,4731
1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,4138
1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,2010
