survival_1,survival_2,survival_3,survival_4,survival_5,survival_6,survival_7,birth_1,birth_2,birth_3,birth_4,birth_5,birth_6,birth_7,overwrite_1,overwrite_2,overwrite_3,overwrite_4,overwrite_5,overwrite_6,Response
1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,4137
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,3475
1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,3670
0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1881
1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,3509
1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,2952
1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,12649
0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,3231
0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,4912
1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,10529
1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,5819
1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,2746
0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,5550
0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,6702
0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3538
1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,3188
0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,4892
1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,6931
0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,11821
