survival_1,survival_2,survival_3,survival_4,survival_5,survival_6,survival_7,birth_1,birth_2,birth_3,birth_4,birth_5,birth_6,birth_7,overwrite_1,overwrite_2,overwrite_3,overwrite_4,overwrite_5,overwrite_6,Response
0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,2512
1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,3101
1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,4439
1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,3844
1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,5386
0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,3220
1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,4863
0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,4170
1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,5759
0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,8452
1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,3896
1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,2877
0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,6028
1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,4159
1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,2849
0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,6008
1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,2673
1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,2622
0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1208
1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,7713
