survival_1,survival_2,survival_3,survival_4,survival_5,survival_6,survival_7,birth_1,birth_2,birth_3,birth_4,birth_5,birth_6,birth_7,overwrite_1,overwrite_2,overwrite_3,overwrite_4,overwrite_5,overwrite_6,Response
0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,4910
0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,3591
1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,14762
0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,2118
1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,4113
0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,2255
1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,7785
1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,4633
0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,8003
1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,2765
1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,3080
0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,2849
1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1644
0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1576
1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,2024
1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0
1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,4880
1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2403
1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,13370
1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,2655
