survival_1,survival_2,survival_3,survival_4,survival_5,survival_6,survival_7,birth_1,birth_2,birth_3,birth_4,birth_5,birth_6,birth_7,overwrite_1,overwrite_2,overwrite_3,overwrite_4,overwrite_5,overwrite_6,Response
1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,11274
0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,3357
1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,12968
1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,6717
0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,2994
1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,6365
0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,7015
0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,4134
1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,4869
0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,6605
1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,12195
1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,2531
1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,3446
1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,5784
1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,2824
1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0
1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,5911
0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,7405
0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,3584
1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
