survival_1,survival_2,survival_3,survival_4,survival_5,survival_6,survival_7,birth_1,birth_2,birth_3,birth_4,birth_5,birth_6,birth_7,overwrite_1,overwrite_2,overwrite_3,overwrite_4,overwrite_5,overwrite_6,Response
1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,2698
1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,8685
1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,2176
1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,5109
0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,2682
1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,8905
0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,5666
1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,2229
1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,3954
1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,3968
0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,7939
0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,4337
1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,5193
1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,12863
1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,5773
1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,6105
0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,3453
0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,3810
1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,2226
1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,4964
