survival_1,survival_2,survival_3,survival_4,survival_5,survival_6,survival_7,birth_1,birth_2,birth_3,birth_4,birth_5,birth_6,birth_7,overwrite_1,overwrite_2,overwrite_3,overwrite_4,overwrite_5,overwrite_6,Response
0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,2058
1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3671
0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1846
1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,2173
0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,2361
1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0
1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,4349
1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,13294
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,2694
1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1899
1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,2176
1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,5318
1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1985
0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,5030
0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,2802
0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,2293
1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,3153
1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,4723
