survival_1,survival_2,survival_3,survival_4,survival_5,survival_6,survival_7,birth_1,birth_2,birth_3,birth_4,birth_5,birth_6,birth_7,overwrite_1,overwrite_2,overwrite_3,overwrite_4,overwrite_5,overwrite_6,Response
0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1507
1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4205
1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1847
0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,290
0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,4615
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,3259
0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,2255
1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1498
0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1160
1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,3957
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,2319
1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,6278
0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1488
1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1969
0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,15765
0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1937
1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1968
