survival_1,survival_2,survival_3,survival_4,survival_5,survival_6,survival_7,birth_1,birth_2,birth_3,birth_4,birth_5,birth_6,birth_7,overwrite_1,overwrite_2,overwrite_3,overwrite_4,overwrite_5,overwrite_6,Response
0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1434
1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0
0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1604
1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1484
1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1735
0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1467
1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,20
0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,641
1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1475
1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,11016
0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,2551
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,192
0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1689
1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0
