survival_1,survival_2,survival_3,survival_4,survival_5,survival_6,survival_7,birth_1,birth_2,birth_3,birth_4,birth_5,birth_6,birth_7,overwrite_1,overwrite_2,overwrite_3,overwrite_4,overwrite_5,overwrite_6,Response
0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,2105
0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,651
1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1128
1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,872
0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1841
1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,23338
1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1273
1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,954
0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1213
0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,4515
0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,8261
1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1704
0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,3087
0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,914
1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,21202
0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1001
0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1126
1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1354
1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1062
0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1633
