survival_1,survival_2,survival_3,survival_4,survival_5,survival_6,survival_7,birth_1,birth_2,birth_3,birth_4,birth_5,birth_6,birth_7,overwrite_1,overwrite_2,overwrite_3,overwrite_4,overwrite_5,overwrite_6,Response
0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,937
1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,57
1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1448
0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1044
1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,2982
1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0
1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,2070
1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,4570
1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1721
1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1252
0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1696
1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1719
0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1368
1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1609
1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,2856
1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1183
1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,5492
0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,795
1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,2482
0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,3770
