survival_1,survival_2,survival_3,survival_4,survival_5,survival_6,survival_7,birth_1,birth_2,birth_3,birth_4,birth_5,birth_6,birth_7,overwrite_1,overwrite_2,overwrite_3,overwrite_4,overwrite_5,overwrite_6,Response
0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1247
1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,761
1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1002
0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,759
0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1379
0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,29212
0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,858
1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,961
1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1,944
0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1883
0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,182
0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,252
0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1878
0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,809
0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1237
0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1454
1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,975
0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,2006
1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1838
